"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"united states",8,0.697716920648482,0.0929008431758443,0.767536538401125,0.349976676763968,"1991"
"united states",6,0.89654880674425,0.882775288730902,0.294182028064396,0.404345949996092,"1991"
"united states",4,0.254590113033502,0.920430777163505,0.51486514387146,0.613858936783967,"1991"
"united states",6,0.971783814124093,0.0875990389511925,0.471755846664111,0.117498814584201,"1991"
"united states",8,0.960435501013036,0.0858874978794774,0.711918577262084,0.1186326114387,"1991"
"united states",8,0.947674553159677,0.139818262756687,0.0331860882491765,0.181357221643991,"1991"
"united states",8,0.44684090748654,0.859708443495247,0.766421947656352,0.418996234109435,"1991"
"united states",6,0.411703995237761,0.708603375366446,0.267379849084453,0.447920270132113,"1991"
"united states",6,0.272351972263881,0.900451921619649,0.31693932542124,0.325328149042648,"1991"
"united states",6,0.529777047735765,0.77362286093468,0.441920535218758,0.218404991726745,"1991"
"united states",6,0.491873449812837,0.686328037684877,0.544173557179549,0.401585762103628,"1991"
"united states",6,0.867001240437808,0.301840497327275,0.0247436576137081,0.158349428669675,"1991"
"united states",4,0.705252801574971,0.878216777880214,0.720948645821633,0.446999499351166,"1991"
"united states",8,0.056331477536127,0.92817589064109,0.638308338081297,0.470436734343612,"1991"
"united states",8,0.485306906904718,0.833967008808744,0.627655453338704,0.194358607617609,"1991"
"united states",6,0.574504417534482,0.691739155846953,0.945497793992026,0.295274091825701,"1991"
"united states",6,0.0289519363927704,0.920301928707545,0.667536130604564,0.83040505538682,"1991"
"united states",6,0.552218969980935,0.801644376565222,0.0274680624144302,0.44159770225376,"1991"
"united states",4,0.288200209446056,0.94134707624008,0.667247596532823,0.548083663435825,"1991"
"united states",6,0.350322867247183,0.899249106100026,0.316170798724118,0.287027071690969,"1991"
"united states",6,0.0581066605793225,0.93032360990948,0.734013560909538,0.320117922074586,"1991"
"united states",4,0.085346289289505,0.948282638700972,0.0872350143137546,0.312748881927718,"1991"
"united states",6,0.047508787405769,0.91467570761276,0.291891330113687,0.76412768576201,"1991"
"united states",4,0.139903875746741,0.898304151083203,0.303176886014598,0.454589366827159,"1991"
"united states",6,0.0454039748012138,0.935866301866888,0.554783121412613,0.545468519611196,"1991"
"united states",6,0.26976318149803,0.916705526006838,0.126324271469337,0.417707707441117,"1991"
"united states",7,0.449649671799542,0.891413856121348,0.0702883622184794,0.301772873933312,"1991"
"united states",8,0.334157870963571,0.947667417623049,0.0735833595042263,0.650937363274743,"1991"
"united states",8,0.657524705651497,0.93732964689978,0.0183672987914803,0.529655579835155,"1991"
"united states",6,0.0426583540374194,0.915053154923374,0.361603983598284,0.77795229251691,"1991"
"united states",4,0.477289120064142,0.925166054252076,0.262569040481209,0.479292301824893,"1991"
"united states",4,0.177482851545609,0.931018938980088,0.496825432555045,0.55957579117059,"1991"
"united states",6,0.45167412972898,0.785524559102013,0.0305087280614156,0.269522713414552,"1991"
"united states",4,0.114583027211461,0.846081935776957,0.650491350422084,0.19941678062919,"1991"
"united states",6,0.135981672193225,0.778114462000112,0.491276583095295,0.409179204378152,"1991"
"united states",6,0.0544862542892123,0.929780475343374,0.685173243765975,0.467137645913718,"1991"
"united states",7,0.163758700325329,0.728519041135418,0.466915084028601,0.459154676515247,"1991"
"united states",6,0.048437450182515,0.899554706430046,0.188298816738385,0.794157279254123,"1991"
"united states",4,0.155033715967223,0.900045487600934,0.0380004125190382,0.253340255301625,"1991"
"united states",4,0.341420748947205,0.938033515700096,0.0354866723985309,0.639928474416599,"1991"
"united states",6,0.133384732623857,0.925520859562013,0.0509678938569932,0.760205784708101,"1991"
"united states",6,0.256251075601315,0.92411107798154,0.246065046089793,0.775892582219163,"1991"
"united states",4,0.0421649999958954,0.902883088604864,0.283297196639541,0.698183346586125,"1991"
"united states",8,0.301776939755799,0.921066714671087,0.727598541990156,0.412197848715643,"1991"
"united states",6,0.471180266758369,0.882251544148837,0.450429823984726,0.59124730723396,"1991"
"united states",4,0.0414145331225803,0.926044443356106,0.247134870739904,0.79675053536619,"1991"
"united states",4,0.0380397069864494,0.913429204040087,0.526959974997971,0.799723677582476,"1991"
"united states",6,0.0903181972476805,0.91498439635988,0.647989169044329,0.65644918707963,"1991"
"united states",8,0.439893654635624,0.737493482698088,0.396352480859531,0.249781600204919,"1991"
"united states",8,0.621732515957265,0.834012542750327,0.273278482478399,0.687281783184356,"1991"
