"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"italy",5,0.119058170648809,0.972048671088187,0.416324841887566,0.638984503859927,"1991"
"italy",6,0.0758755441282821,0.929404285067471,0.65398009996067,0.724939713733975,"1991"
"italy",5,0.0937434568654602,0.916598022581649,0.643522002904402,0.55088962049242,"1991"
"italy",5,0.0404236846207597,0.914954195182303,0.746583337458857,0.755209087848615,"1991"
"italy",8,0.204801973456922,0.972757029201822,0.264064169597806,0.614919055011698,"1991"
"italy",5,0.036768855197802,0.933396330587328,0.0548534650437637,0.84226802120913,"1991"
"italy",4,0.976831726016883,0.0896082631388416,0.0234544876578403,0.0767815531035302,"1991"
"italy",5,0.0932975895335508,0.948331386568406,0.646847629637322,0.480777776926827,"1991"
"italy",5,0.522969124327629,0.80054076433467,0.398974581843745,0.470062074905853,"1991"
"italy",5,0.0440495078985203,0.933742199234518,0.560799789612975,0.793607360353027,"1991"
"italy",4,0.927020734442506,0.84254252677222,0.246132227269122,0.188482891814646,"1991"
"italy",6,0.34352687526693,0.907773370592454,0.455831282537312,0.533442238794321,"1991"
"italy",4,0.842738054074536,0.927457004360014,0.265310280027268,0.310093388928207,"1991"
"italy",6,0.866720651140317,0.415815355051482,0.0188657887481126,0.289466727060976,"1991"
"italy",5,0.0550606888345374,0.933133382421906,0.275393758939906,0.292209490887616,"1991"
"italy",4,0.319307769540334,0.923637794476672,0.310258687391643,0.593926526243113,"1991"
"italy",5,0.650006901282761,0.806719278887529,0.0191889057514709,0.396362693092382,"1991"
"italy",5,0.128966064666764,0.966402017322356,0.262080682833009,0.635030601092735,"1991"
"italy",5,0.931010658236357,0.447772736580332,0.0116160466965944,0.305965553430761,"1991"
"italy",6,0.924534778918567,0.339501506142268,0.0152229303585109,0.119411923388564,"1991"
"italy",5,0.555796597339518,0.921896341149087,0.243516754362166,0.312604081683927,"1991"
"italy",6,0.886453458353605,0.849666160629495,0.005827542606177,0.206963557819756,"1991"
"italy",6,0.377519710003821,0.942446657136524,0.45575275210601,0.629949018226578,"1991"
"italy",5,0.327549885800324,0.925851693740815,0.544444865617237,0.651530391256,"1991"
"italy",5,0.050869664137795,0.968983186013944,0.269544013694172,0.62147811554635,"1991"
"italy",8,0.0332059413213981,0.917454179015201,0.52776064927572,0.881398163973013,"1991"
"italy",5,0.55268006949192,0.935545218720558,0.0317743246006938,0.261756994410258,"1991"
"italy",5,0.337862275048368,0.933848347137369,0.0747601933362622,0.589978468863709,"1991"
"italy",5,0.0477816639030346,0.942503905350918,0.231539162260986,0.666310990043357,"1991"
"italy",6,0.690584227245514,0.935573565188942,0.771126078287658,0.588683147193515,"1991"
"italy",6,0.665568930664429,0.744722605726837,0.0139530234286001,0.359322033295169,"1991"
"italy",5,0.332526375684229,0.442313782050753,0.035191767181729,0.278806725381147,"1991"
"italy",5,0.0340898955308966,0.9558730946332,0.286357542231413,0.687125150807022,"1991"
"italy",5,0.0649563499583095,0.941999130615609,0.214827448181301,0.544713389525273,"1991"
"italy",6,0.316493916187509,0.954712311948587,0.233682415792867,0.782390171980305,"1991"
"italy",5,0.640891694931508,0.852764299509365,0.218754316712623,0.580858733081679,"1991"
"italy",4,0.332475007763694,0.927156037156847,0.426549037455892,0.656707848697762,"1991"
"italy",5,0.512524593160127,0.916313713095548,0.0373204374774435,0.210416562067372,"1991"
"italy",4,0.440261804142676,0.907626312244655,0.0272876832396875,0.189190558768041,"1991"
"italy",4,0.895353805984063,0.87047337258115,0.0370039039219312,0.3289280413529,"1991"
"italy",5,0.336257023649883,0.738866703020864,0.62946748932803,0.577352608048319,"1991"
"italy",4,0.145576298553314,0.90337446533975,0.271595649226458,0.607783718959749,"1991"
"italy",6,0.247544429004155,0.940107146823245,0.967566339128551,0.613375705122808,"1991"
"italy",3,0.467164913019913,0.926827265909124,0.0423119924007968,0.499878238775994,"1991"
"italy",4,0.260951057260437,0.951930130511389,0.0569195700291188,0.670327855444346,"1991"
"italy",4,0.377497127210502,0.915171602725566,0.420201437367563,0.679115609689078,"1991"
"italy",5,0.595183512049155,0.797136135858627,0.0201073732938718,0.456574583654418,"1991"
"italy",6,0.3510562868771,0.859239086422777,0.717359262031523,0.417935930122851,"1991"
"italy",6,0.92619000683688,0.113663072488263,0.063191874908834,0.249242776420764,"1991"
"italy",4,0.0515402206946982,0.947621077079233,0.460302232090367,0.656652144862788,"1991"
"italy",6,0.139112130982589,0.933875067914569,0.0403984911333428,0.578122711125604,"1991"
"italy",6,0.768795698267982,0.861469707613319,0.262739059847488,0.280359613034271,"1991"
"italy",6,0.927637955611627,0.830957464040379,0.24913204967869,0.32068399546553,"1991"
"italy",8,0.86764329896009,0.346766740709766,0.388662108990708,0.143102361578701,"1991"
"italy",8,0.639193468817945,0.817990763682593,0.25869061378557,0.540824311118062,"1991"
"italy",6,0.686717449453754,0.939020145602703,0.258025605333249,0.63111909550591,"1991"
"italy",6,0.857929315113148,0.35237601543546,0.0106160750315167,0.15777656165386,"1991"
"italy",8,0.230812831412414,0.810640510017786,0.448910632600908,0.123906323175467,"1991"
"italy",6,0.313738411218161,0.920144294077225,0.0620646094372843,0.764901734572277,"1991"
"italy",6,0.968570421580426,0.286297646523879,0.020296941737993,0.172890052534437,"1991"
"italy",6,0.585272156183675,0.888788910177344,0.350982716968433,0.162696406315541,"1991"
"italy",8,0.32829971631852,0.864241802443958,0.515175870166244,0.783743698092453,"1991"
"italy",6,0.343835839343923,0.899190133995551,0.268156477932707,0.480995473750723,"1991"
"italy",4,0.0438103376107094,0.88017718411422,0.665419686247305,0.808212984154358,"1991"
"italy",6,0.154938540665069,0.896296194538433,0.456104534676446,0.527994871635932,"1991"
"italy",5,0.35332660705285,0.142761237636561,0.40169056784923,0.168227631993446,"1991"
"italy",5,0.636376462305454,0.82564675898776,0.731039554848616,0.478337669865399,"1991"
"italy",5,0.350967898316572,0.798644375597637,0.594759769387623,0.720918043907307,"1991"
"italy",5,0.667241780356003,0.413789575667887,0.0198130088707906,0.178982220980298,"1991"
"italy",6,0.377767034929961,0.822513003762171,0.768513370888517,0.160078780186919,"1991"
"italy",8,0.0577018857279519,0.931179986203874,0.261297367688775,0.651209961603146,"1991"
"italy",4,0.350864984434391,0.845851491217724,0.596866767796669,0.437226347771264,"1991"
"italy",6,0.95391318823339,0.341866603306729,0.0201573005083813,0.16789123502709,"1991"
"italy",5,0.979416943460397,0.036157800031659,0.0272811389086806,0.267141414226379,"1991"
"italy",5,0.883544677540927,0.742237746833475,0.0124281113614499,0.15656437975694,"1991"
"italy",6,0.65697734093332,0.74029303411334,0.265268281784563,0.239242271429463,"1991"
"italy",8,0.580486443076937,0.829560106916968,0.407501860957342,0.158833900766442,"1991"
"italy",5,0.290956150494458,0.932065006620377,0.796488636352248,0.363764647469303,"1991"
"italy",6,0.343254875286544,0.817365789574347,0.0497955650542008,0.789504833476909,"1991"
"italy",6,0.33532017836725,0.866574686168939,0.0488008035894574,0.790609314797296,"1991"
"italy",8,0.146701714557267,0.930928031479208,0.0537711917369843,0.717528189226387,"1991"
"italy",5,0.310528432448083,0.909853135107496,0.0499559466335562,0.714160442647621,"1991"
"italy",5,0.0756590041254452,0.919001792542813,0.056293492591851,0.727467646535636,"1991"
"italy",5,0.540253782363668,0.95818628568119,0.0155364900272441,0.418333390378696,"1991"
"italy",6,0.0435413859772409,0.934824251801249,0.281099460828795,0.66957885448202,"1991"
"italy",5,0.0903250727649848,0.95116159224165,0.0307826341140962,0.633898658777818,"1991"
"italy",8,0.162391668995569,0.934163824875037,0.497808710528055,0.614251111652583,"1991"
"italy",4,0.385217738455654,0.87539162333413,0.22468302269197,0.638206574226219,"1991"
"italy",5,0.0400385675884352,0.917188470649967,0.432270655935291,0.828738912063922,"1991"
"italy",4,0.0826103116772897,0.910912221659489,0.714120919206323,0.886974037518813,"1991"
"italy",3,0.337530737300603,0.881483981138172,0.284947932668133,0.698142790861034,"1991"
"italy",3,0.913433848305995,0.787455073038175,0.448709462066467,0.489095848067958,"1991"
"italy",3,0.617931386919548,0.918818219645923,0.320800612424843,0.623022417982317,"1991"
"italy",5,0.951622694460136,0.57330999255163,0.0179260416192008,0.211007617103177,"1991"
"italy",6,0.349796212035492,0.924864324930099,0.223939327072604,0.474534509598241,"1991"
"italy",6,0.332407922540989,0.919602251191447,0.0414583231949364,0.761744921109103,"1991"
"italy",6,0.0883307974091678,0.755076419804716,0.278437687918853,0.392806992154039,"1991"
"italy",4,0.59163623514778,0.914269541993238,0.0759757974952489,0.476747108808143,"1991"
"italy",5,0.581365416449087,0.853156771213689,0.039111406490151,0.582672946974456,"1991"
"italy",6,0.663188663960419,0.721974905899857,0.255846216589057,0.151420726295707,"1991"
"italy",3,0.281512498489291,0.915150811980065,0.322409738894911,0.644436678655715,"1991"
"italy",6,0.770177579269998,0.654423580384955,0.026627478392453,0.325718893255076,"1991"
"italy",4,0.577789205898397,0.855067724230532,0.266046055003666,0.578358392809551,"1991"
"italy",5,0.974122327033222,0.288572076403782,0.0245613938208817,0.0842761907524534,"1991"
"italy",4,0.87234262593025,0.778839525806018,0.0335170358316059,0.409818515713275,"1991"
"italy",4,0.86519415353435,0.825380409367543,0.261168418437738,0.513158766164984,"1991"
"italy",6,0.976571409338656,0.0936080936202503,0.0211511678199201,0.0826515584640101,"1991"
"italy",3,0.0418365455860906,0.938354886149638,0.290530266195709,0.686771982141737,"1991"
"italy",6,0.881382887967457,0.788113539964254,0.0259124280261354,0.488924933985546,"1991"
"italy",4,0.320037346830948,0.884832436325193,0.292654010331605,0.809228608813144,"1991"
"italy",6,0.876524979388055,0.816301963837063,0.0247165311975381,0.379338771284727,"1991"
"italy",6,0.946202236983297,0.419719337744214,0.0201358400664469,0.158786410083409,"1991"
"italy",3,0.567658920993509,0.883217357736065,0.457345857349833,0.591140735611537,"1991"
"italy",4,0.648954894016303,0.785395475441086,0.0789565025498062,0.327523775989539,"1991"
"italy",4,0.277201882472427,0.921710178200842,0.503470929468519,0.632492798010169,"1991"
"italy",6,0.140512087779646,0.912932254380511,0.472344367343775,0.867462847831927,"1991"
"italy",6,0.0592382324499828,0.935378277339617,0.0406146267766493,0.577744323961566,"1991"
"italy",6,0.0387339519156257,0.749221176600267,0.253189912855341,0.827150166122314,"1991"
"italy",8,0.665157476199606,0.918513241938841,0.0393622126355057,0.583616120366049,"1991"
"italy",5,0.330365074687339,0.862285168721268,0.421184426655075,0.765292742486997,"1991"
"italy",6,0.0296049334390052,0.897764451426383,0.90417139045528,0.877533697327521,"1991"
"italy",5,0.633559672719338,0.491110541152611,0.221834354697961,0.420684119545308,"1991"
"italy",5,0.371766476499651,0.804455099610687,0.407096451590172,0.232843353887189,"1991"
"italy",6,0.628119964234144,0.346309030087083,0.266057498886273,0.15275365825441,"1991"
"italy",6,0.936066938190764,0.415413442008977,0.0108709104525424,0.422348652422433,"1991"
"italy",4,0.286306160722715,0.913960068551538,0.483829897117769,0.795817269737385,"1991"
"italy",8,0.0793639373595631,0.923402602009955,0.233702768604546,0.695617695159029,"1991"
"italy",6,0.0756627127617043,0.913837096825109,0.754642623225958,0.785023757896025,"1991"
"italy",6,0.286233351558149,0.732246983417773,0.230838287148045,0.797032482732027,"1991"
"italy",6,0.0502672770109092,0.961786589531977,0.0335423871710564,0.645836251093604,"1991"
"italy",6,0.368938549294844,0.853163976829792,0.265320228630992,0.320165537412178,"1991"
"italy",5,0.410578885850193,0.478622325960264,0.0371957277621669,0.208094811479038,"1991"
"italy",4,0.348358099929973,0.918981299687168,0.0338988489355218,0.54305521904165,"1991"
"italy",5,0.31438134959413,0.941853442891294,0.0285433502441697,0.593542938426115,"1991"
"italy",8,0.306498521369258,0.931700794300006,0.459126462042708,0.648210703962337,"1991"
"italy",6,0.399812996159402,0.367581260699789,0.20164681938688,0.152534821190974,"1991"
"italy",6,0.0488103671053191,0.958956830964643,0.354471836804504,0.646428771832997,"1991"
"italy",6,0.306040699452182,0.928178585648342,0.269958877880117,0.606934080974994,"1991"
"italy",8,0.865068286271352,0.584638879802709,0.0187946128197747,0.175456125098221,"1991"
"italy",5,0.91328639818868,0.175864022653245,0.0225858509022122,0.105351206552644,"1991"
"italy",6,0.918783835722453,0.161465796500374,0.0144212954678834,0.120642019744991,"1991"
"italy",4,0.235211466935906,0.909030996469578,0.252930178622895,0.883176392260477,"1991"
"italy",4,0.125114373598126,0.958191615205873,0.268995739563247,0.604000373966622,"1991"
"italy",4,0.875146272984365,0.376679421203384,0.0142813236183321,0.121952728581547,"1991"
"italy",6,0.318084983556023,0.676284998453283,0.0410643555536568,0.4688801254723,"1991"
"italy",8,0.986944744299218,0.0526995944241218,0.577074763145618,0.0869910233017284,"1991"
"italy",5,0.62048079320084,0.649486379900541,0.262526365663646,0.228472815456349,"1991"
"italy",4,0.408487904441253,0.828270398726407,0.253000999424728,0.401457683813168,"1991"
"italy",6,0.674343278890073,0.367468627070565,0.258280657055858,0.257758539839346,"1991"
"italy",8,0.949110011375799,0.289955240328024,0.270846042246638,0.112058715698395,"1991"
"italy",4,0.307646737256779,0.892144344185796,0.457855892656407,0.610491078970731,"1991"
"italy",5,0.996973159010668,0.245190055017862,0.0114604377525886,0.0531908965680454,"1991"
"italy",5,0.357847458058472,0.839906272687761,0.270268980004222,0.493852000827108,"1991"
"italy",8,0.328518433705133,0.915223350653924,0.276852807999811,0.623338499848913,"1991"
"italy",6,0.281655686173189,0.931312523018797,0.0447620544304981,0.756375164812794,"1991"
"italy",5,0.881857671830019,0.887279362450989,0.0150198691604666,0.173999831566533,"1991"
"italy",6,0.360057220351262,0.80022460468395,0.411816878753011,0.289567043194849,"1991"
"italy",6,0.0780890545357545,0.910704228519712,0.385929527975674,0.894048644653013,"1991"
"italy",8,0.416592931624534,0.461691165647181,0.0355542407214529,0.192479566488073,"1991"
"italy",6,0.969996181106899,0.277018551826852,0.482690251583655,0.0968712140607264,"1991"
"italy",6,0.972580814847157,0.337080555014173,0.0521771043273118,0.0613124145043132,"1991"
"italy",6,0.832647992985195,0.926562986801253,0.0872569632484114,0.446353501778625,"1991"
"italy",5,0.824289783468787,0.733963323727325,0.267278621213403,0.312152777970649,"1991"
"italy",6,0.719875470505574,0.634640034158693,0.43900322169669,0.201642441088955,"1991"
"italy",8,0.30501786690295,0.951913005259662,0.409839851087291,0.362619444246991,"1991"
"italy",8,0.0482668386336797,0.959431079604791,0.232346833012068,0.623577548310409,"1991"
"italy",6,0.543271378966188,0.87702359363048,0.0402492908456277,0.335841956264109,"1991"
"italy",6,0.685508840863551,0.343341954135467,0.204609698958058,0.117992769284912,"1991"
