"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"portugal",4,0.757645950773147,0.901229523837341,0.037732510438363,0.445158866531549,"1998"
"portugal",3,0.352523414372496,0.887409348902796,0.0393134517515461,0.0790988899236718,"1998"
"portugal",3,0.672734490260275,0.781893107796493,0.230064300260703,0.366347886506976,"1998"
"portugal",4,0.89009420398342,0.492298199328975,0.0298395640140738,0.089334881995695,"1998"
"portugal",3,0.62363072053018,0.829343439532559,0.0470441891375093,0.565497398301453,"1998"
"portugal",5,0.874821086420908,0.53952640436148,0.0050104759860425,0.335511847926457,"1998"
"portugal",3,0.377041766836753,0.776093069971861,0.0340701365839852,0.455649149396965,"1998"
"portugal",5,0.329117953813367,0.920705376025123,0.502536092256616,0.525865712431937,"1998"
"portugal",5,0.109039041453587,0.925074400806306,0.0392061062151941,0.52074179860969,"1998"
"portugal",5,0.365080181692897,0.749744714814169,0.0698368641829687,0.247171869299738,"1998"
"portugal",5,0.167001194896331,0.964587365164286,0.0512809406476117,0.608399478292022,"1998"
"portugal",5,0.319228948014514,0.917378937251902,0.0400177071180885,0.53000254467317,"1998"
"portugal",4,0.0441247289510734,0.95457861330939,0.233070473387376,0.721494361213957,"1998"
"portugal",4,0.126218174243673,0.901643106312232,0.0448197186105465,0.414146859133273,"1998"
"portugal",5,0.349565529663993,0.856341235771798,0.0385295115340053,0.428638115924877,"1998"
"portugal",5,0.0565845495770145,0.952208499669112,0.0283052517785457,0.502712486470453,"1998"
"portugal",8,0.0625010130232234,0.921511403557413,0.456183528666295,0.639790260496561,"1998"
"portugal",3,0.0564415577215349,0.949056017052862,0.045089863686822,0.520071175722008,"1998"
"portugal",4,0.289149965695741,0.919955251431277,0.0510182549423922,0.7331673895723,"1998"
"portugal",3,0.304429821129972,0.897253135224715,0.0525222953382113,0.496112340885011,"1998"
"portugal",5,0.385299253189255,0.413013898946718,0.210149898485128,0.274514531690769,"1998"
"portugal",3,0.182167338704528,0.92293624772354,0.0381050390933397,0.569850902147556,"1998"
"portugal",4,0.324876290738843,0.876682602171726,0.0312439588636775,0.466688224900208,"1998"
